CampaignApplicationId,MetricId,Survey,Campaign,Closing Date,Application,Application Status,Question,Answer
10260,10000802,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Technical Enablers] What is the current user authentication mechanism used by this application?,Anonymous (no authentication)
10260,10000803,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Technical Enablers]  How is this application exposed to external services/applications?,Standalone (no interaction)
10260,10000901,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Business Drivers] Does this application correspond to a specific workload?,Streaming and Media Services
10260,10000805,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Business Drivers] How is data consumed from this application?,Information Management
10260,10000806,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Process Maturity] What is the level of deployment process automation for provisioning and configuration for this application?,Fully-automated
10260,10000807,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Technical Enablers] Is this application multi-tenant?,Full multi-tenant application
10261,1000011,Business Impact,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,What is the average number of FTE (Full Time Equivalent) resources that have worked on the source code for this application over the last 12 months?,11
10261,1000012,Software Maintenance Estimate,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,What percentage of the development effort has been spent on maintenance for this application over the last 12 months?,25
10261,1000121,Software Maintenance Estimate,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,What is the percentage of change to the base code for this application over the last 12 months?,15
10261,1000427,Application Properties,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,Is this application a custom application or a Commercial Off The Shelf product?,Custom Application
10261,1000002,Application Properties,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,Application Owner's name,Michael MULLER
10261,1000033,Application Properties,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,In what year was this application first put into production?,2010
10261,10000808,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Technical Enablers] What are the relationships beyond the application boundaries?,Internal services exposed through an API
10261,10000809,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Technical Enablers] What is the database provider for this application?,Proprietary but deployable in the Cloud (IaaS)
10261,10000810,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Process Maturity] What is the average skill on Cloud technologies and practices within the development team for this application?,Experts
10261,10000811,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Business Drivers] What is the current (or expected) Service Level Agreement for this application?,SLA with continuity of service
10261,10000800,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Process Maturity] What is the evolution model and feedback loop approach for this application?,Dev/Test Loop
10261,10000801,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Technical Enablers] What is the current deployment platform for this application?,Web application
10261,10000802,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Technical Enablers] What is the current user authentication mechanism used by this application?,Enterprise AD
10261,10000803,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Technical Enablers]  How is this application exposed to external services/applications?,REST API exposed
10261,10000805,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Business Drivers] How is data consumed from this application?,Classic Storage
10261,10000806,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Process Maturity] What is the level of deployment process automation for provisioning and configuration for this application?,Semi-automated
10261,10000807,Cloud Readiness Assessment,Cloud Wave 2_Torque3D,04/15/2017,Torque3D,complete,[Technical Enablers] Is this application multi-tenant?,"Yes, multi-tenant front with a dedicated schema (with common database)"
10265,1000011,Business Impact,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,What is the average number of FTE (Full Time Equivalent) resources that have worked on the source code for this application over the last 12 months?,2.5
10265,1000012,Software Maintenance Estimate,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,What percentage of the development effort has been spent on maintenance for this application over the last 12 months?,5
10265,1000121,Software Maintenance Estimate,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,What is the percentage of change to the base code for this application over the last 12 months?,10
10265,1000427,Application Properties,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,Is this application a custom application or a Commercial Off The Shelf product?,Custom Application
10265,1000002,Application Properties,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,Application Owner's name,Michael MULLER
10265,1000033,Application Properties,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,In what year was this application first put into production?,2010
10265,10000808,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Technical Enablers] What are the relationships beyond the application boundaries?,Internal services not exposed
10265,10000809,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Technical Enablers] What is the database provider for this application?,Standard and supported as a service in the Cloud (PaaS)
10265,10000810,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Process Maturity] What is the average skill on Cloud technologies and practices within the development team for this application?,Advanced skills & experience
10265,10000811,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Business Drivers] What is the current (or expected) Service Level Agreement for this application?,SLA with maintenance timeframe
10265,10000800,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Process Maturity] What is the evolution model and feedback loop approach for this application?,Continuous Delivery
10265,10000801,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Technical Enablers] What is the current deployment platform for this application?,Web application
10265,10000802,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Technical Enablers] What is the current user authentication mechanism used by this application?,Single Sign On
10265,10000803,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Technical Enablers]  How is this application exposed to external services/applications?,REST API exposed
10265,10000805,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Business Drivers] How is data consumed from this application?,Data Analytics
10265,10000806,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Process Maturity] What is the level of deployment process automation for provisioning and configuration for this application?,Semi-automated
10265,10000807,Cloud Readiness Assessment,Cloud Wave 2_Tensorflow,04/15/2017,Sensorflask,complete,[Technical Enablers] Is this application multi-tenant?,"Yes, multi-tenant front with a dedicated schema (with common database)"
10270,1000011,Business Impact,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,What is the average number of FTE (Full Time Equivalent) resources that have worked on the source code for this application over the last 12 months?,10
10270,1000012,Software Maintenance Estimate,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,What percentage of the development effort has been spent on maintenance for this application over the last 12 months?,10
10270,1000121,Software Maintenance Estimate,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,What is the percentage of change to the base code for this application over the last 12 months?,10
10270,1000002,Application Properties,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,Application Owner's name,Michael MULLER
10270,1000033,Application Properties,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,In what year was this application first put into production?,2010
10270,10000808,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Technical Enablers] What are the relationships beyond the application boundaries?,No dependency
10270,10000809,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Technical Enablers] What is the database provider for this application?,Standard and supported as a service in the Cloud (PaaS)
10270,10000810,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Process Maturity] What is the average skill on Cloud technologies and practices within the development team for this application?,Advanced skills & experience
10270,10000811,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Business Drivers] What is the current (or expected) Service Level Agreement for this application?,SLA with continuity of service
10270,10000800,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Process Maturity] What is the evolution model and feedback loop approach for this application?,DevOps
10270,10000801,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Technical Enablers] What is the current deployment platform for this application?,Web application
10270,10000802,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Technical Enablers] What is the current user authentication mechanism used by this application?,Anonymous (no authentication)
10270,10000803,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Technical Enablers]  How is this application exposed to external services/applications?,Standalone (no interaction)
10270,10000901,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Business Drivers] Does this application correspond to a specific workload?,IoT - Internet of Things
10270,10000805,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Business Drivers] How is data consumed from this application?,Data Analytics
10270,10000806,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Process Maturity] What is the level of deployment process automation for provisioning and configuration for this application?,Fully-automated
10270,10000807,Cloud Readiness Assessment,Survey Mahout and Another_Mahout,05/15/2018,Mahout,complete,[Technical Enablers] Is this application multi-tenant?,Full multi-tenant application
12241,1000011,Business Impact,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,What is the average number of FTE (Full Time Equivalent) resources that have worked on the source code for this application over the last 12 months?,3.0
12241,1000009,Business Impact,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,Is this application aligned with the company's future technology direction?,No
12241,1000022,Business Impact,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,Could failure of this application lead to loss of customer confidence? Please define the level of impact.,Low
12241,1000006,Business Impact,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,The number of major releases delivered over the last 12 months for this application?,Less than 4
12241,1000021,Business Impact,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,Could failure of this application lead to harm of the company's public image? Please define the level of impact.,Low
12241,1000020,Business Impact,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,Could failure of this application lead to loss of revenue or business opportunity? Please define the level of impact.,Medium
12241,1000019,Business Impact,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,Could failure of this application lead to disruption? Please define the level of impact.,Medium
12241,1000018,Business Impact,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,What is the approximate number of end users for this application?,Less than 100
12241,1000017,Business Impact,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,Does the application serve internal or external users?,Internal users or business processes
12241,1000015,Software Maintenance Estimate,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,What is the average skill level of the development team on this type of application?,3 years
12241,1000012,Software Maintenance Estimate,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,What percentage of the development effort has been spent on maintenance for this application over the last 12 months?,3.0
12241,1000121,Software Maintenance Estimate,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,What is the percentage of change to the base code for this application over the last 12 months?,10
12241,1000032,Software Maintenance Estimate,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,What is the CMMI level of the organization?,Level 3
12241,1000016,Software Maintenance Estimate,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,What is the annual staff turnover within the development team for this application?,5%
12241,1000427,Application Properties,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,Is this application a custom application or a Commercial Off The Shelf product?,Custom Application
12241,1000004,Application Properties,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,What is the application type?,Consumer Lending
12241,1000002,Application Properties,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,Application Owner's name,Mike
12241,1000033,Application Properties,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,In what year was this application first put into production?,2011
12241,10000808,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Technical Enablers] What are the relationships beyond the application boundaries?,External services
12241,10000809,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Technical Enablers] What is the database provider for this application?,Standard but not supported as a service in the Cloud (IaaS)
12241,10000810,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Process Maturity] What is the average skill on Cloud technologies and practices within the development team for this application?,Basic knowledge
12241,10000811,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Business Drivers] What is the current (or expected) Service Level Agreement for this application?,No specifically defined SLA
12241,10000800,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Process Maturity] What is the evolution model and feedback loop approach for this application?,Waterfall
12241,10000801,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Technical Enablers] What is the current deployment platform for this application?,Back-End application
12241,10000802,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Technical Enablers] What is the current user authentication mechanism used by this application?,Login/Password authentication
12241,10000803,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Technical Enablers]  How is this application exposed to external services/applications?,Standalone (no interaction)
12241,10000805,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Business Drivers] How is data consumed from this application?,Data Analytics
12241,10000806,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Process Maturity] What is the level of deployment process automation for provisioning and configuration for this application?,Semi-automated
12241,10000807,Cloud Readiness Assessment,Cloud Wave 2_efmvc,04/15/2017,efmvc,complete,[Technical Enablers] Is this application multi-tenant?,No (single-tenant)
12242,1000011,Business Impact,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,What is the average number of FTE (Full Time Equivalent) resources that have worked on the source code for this application over the last 12 months?,2.0
12242,1000009,Business Impact,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,Is this application aligned with the company's future technology direction?,Yes
12242,1000022,Business Impact,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,Could failure of this application lead to loss of customer confidence? Please define the level of impact.,Medium
12242,1000006,Business Impact,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,The number of major releases delivered over the last 12 months for this application?,4 to 6
12242,1000021,Business Impact,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,Could failure of this application lead to harm of the company's public image? Please define the level of impact.,Medium
12242,1000020,Business Impact,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,Could failure of this application lead to loss of revenue or business opportunity? Please define the level of impact.,High
12242,1000019,Business Impact,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,Could failure of this application lead to disruption? Please define the level of impact.,Medium
12242,1000018,Business Impact,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,What is the approximate number of end users for this application?,501 to 2500
12242,1000017,Business Impact,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,Does the application serve internal or external users?,Both
12242,1000015,Software Maintenance Estimate,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,What is the average skill level of the development team on this type of application?,1 year
12242,1000012,Software Maintenance Estimate,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,What percentage of the development effort has been spent on maintenance for this application over the last 12 months?,8.0
12242,1000121,Software Maintenance Estimate,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,What is the percentage of change to the base code for this application over the last 12 months?,15
12242,1000032,Software Maintenance Estimate,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,What is the CMMI level of the organization?,Level 4
12242,1000016,Software Maintenance Estimate,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,What is the annual staff turnover within the development team for this application?,10%
12242,1000427,Application Properties,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,Is this application a custom application or a Commercial Off The Shelf product?,Custom Application
12242,1000004,Application Properties,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,What is the application type?,Network Operations and Management
12242,1000002,Application Properties,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,Application Owner's name,Mike
12242,1000033,Application Properties,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,In what year was this application first put into production?,2009
12242,10000808,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Technical Enablers] What are the relationships beyond the application boundaries?,Internal services exposed through an API
12242,10000809,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Technical Enablers] What is the database provider for this application?,Standard and supported as a service in the Cloud (PaaS)
12242,10000810,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Process Maturity] What is the average skill on Cloud technologies and practices within the development team for this application?,Advanced skills & experience
12242,10000811,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Business Drivers] What is the current (or expected) Service Level Agreement for this application?,SLA with maintenance timeframe
12242,10000800,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Process Maturity] What is the evolution model and feedback loop approach for this application?,Dev/Test Loop
12242,10000801,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Technical Enablers] What is the current deployment platform for this application?,Desktop application
12242,10000802,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Technical Enablers] What is the current user authentication mechanism used by this application?,Single Sign On
12242,10000803,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Technical Enablers]  How is this application exposed to external services/applications?,API exposed on other network protocol
12242,10000805,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Business Drivers] How is data consumed from this application?,Data Analytics
12242,10000806,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Process Maturity] What is the level of deployment process automation for provisioning and configuration for this application?,Fully-automated
12242,10000807,Cloud Readiness Assessment,Cloud Wave 2_gacffp,04/15/2017,gacffp,complete,[Technical Enablers] Is this application multi-tenant?,"Yes, multi-tenant front with a dedicated schema (with common database)"
12243,1000011,Business Impact,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,What is the average number of FTE (Full Time Equivalent) resources that have worked on the source code for this application over the last 12 months?,1.0
12243,1000009,Business Impact,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,Is this application aligned with the company's future technology direction?,Yes
12243,1000022,Business Impact,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,Could failure of this application lead to loss of customer confidence? Please define the level of impact.,Medium
12243,1000006,Business Impact,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,The number of major releases delivered over the last 12 months for this application?,4 to 6
12243,1000021,Business Impact,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,Could failure of this application lead to harm of the company's public image? Please define the level of impact.,High
12243,1000020,Business Impact,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,Could failure of this application lead to loss of revenue or business opportunity? Please define the level of impact.,Medium
12243,1000019,Business Impact,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,Could failure of this application lead to disruption? Please define the level of impact.,Medium
12243,1000018,Business Impact,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,What is the approximate number of end users for this application?,100 to 500
12243,1000017,Business Impact,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,Does the application serve internal or external users?,Both
12243,1000015,Software Maintenance Estimate,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,What is the average skill level of the development team on this type of application?,6 months
12243,1000012,Software Maintenance Estimate,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,What percentage of the development effort has been spent on maintenance for this application over the last 12 months?,9.0
12243,1000121,Software Maintenance Estimate,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,What is the percentage of change to the base code for this application over the last 12 months?,5
12243,1000032,Software Maintenance Estimate,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,What is the CMMI level of the organization?,Level 3
12243,1000016,Software Maintenance Estimate,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,What is the annual staff turnover within the development team for this application?,3%
12243,1000427,Application Properties,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,Is this application a custom application or a Commercial Off The Shelf product?,Customized COTS
12243,1000004,Application Properties,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,What is the application type?,Global Securities
12243,1000002,Application Properties,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,Application Owner's name,Mike
12243,1000033,Application Properties,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,In what year was this application first put into production?,2007
12243,10000808,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Technical Enablers] What are the relationships beyond the application boundaries?,Internal services exposed through an API
12243,10000809,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Technical Enablers] What is the database provider for this application?,Proprietary but deployable in the Cloud (IaaS)
12243,10000810,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Process Maturity] What is the average skill on Cloud technologies and practices within the development team for this application?,Advanced skills & experience
12243,10000811,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Business Drivers] What is the current (or expected) Service Level Agreement for this application?,SLA with maintenance timeframe
12243,10000800,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Process Maturity] What is the evolution model and feedback loop approach for this application?,Continuous Delivery
12243,10000801,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Technical Enablers] What is the current deployment platform for this application?,Mobile or Tablet application
12243,10000802,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Technical Enablers] What is the current user authentication mechanism used by this application?,Enterprise AD
12243,10000803,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Technical Enablers]  How is this application exposed to external services/applications?,REST API exposed
12243,10000805,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Business Drivers] How is data consumed from this application?,Information Management
12243,10000806,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Process Maturity] What is the level of deployment process automation for provisioning and configuration for this application?,Semi-automated
12243,10000807,Cloud Readiness Assessment,Cloud Wave 2_greenhouse,04/15/2017,greenhouse,complete,[Technical Enablers] Is this application multi-tenant?,"Yes, muti-tenant front with a dedicated database"
13287,1000011,Business Impact,null,07/29/2017,PetStore,complete,What is the average number of FTE (Full Time Equivalent) resources that have worked on the source code for this application over the last 12 months?,30.0
13287,1000009,Business Impact,null,07/29/2017,PetStore,complete,Is this application aligned with the company's future technology direction?,Yes
13287,1000022,Business Impact,null,07/29/2017,PetStore,complete,Could failure of this application lead to loss of customer confidence? Please define the level of impact.,High
13287,1000006,Business Impact,null,07/29/2017,PetStore,complete,The number of major releases delivered over the last 12 months for this application?,4 to 6
13287,1000021,Business Impact,null,07/29/2017,PetStore,complete,Could failure of this application lead to harm of the company's public image? Please define the level of impact.,Medium
13287,1000020,Business Impact,null,07/29/2017,PetStore,complete,Could failure of this application lead to loss of revenue or business opportunity? Please define the level of impact.,High
13287,1000019,Business Impact,null,07/29/2017,PetStore,complete,Could failure of this application lead to disruption? Please define the level of impact.,Medium
13287,1000018,Business Impact,null,07/29/2017,PetStore,complete,What is the approximate number of end users for this application?,501 to 2500
13287,1000017,Business Impact,null,07/29/2017,PetStore,complete,Does the application serve internal or external users?,External users
13287,1000015,Software Maintenance Estimate,null,07/29/2017,PetStore,complete,What is the average skill level of the development team on this type of application?,1 year
